"Country","HWper10000","UHC","Ranking"
"Afghanistan","262","37","1High"
"Albania","128","59","3Low"
"Algeria","90","78","2Medium"
"Angola","79","40","3Low"
"Argentina","259","76","3Low"
"Armenia","174","69","2Medium"
"Australia","711","87","1High"
"Austria","531","79","2Medium"
"Azerbaijan","189","65","3Low"
"Bahrain","31","77","3Low"
"Bangladesh","34","48","1High"
"Barbados","262","77","2Medium"
"Belarus","408","76","2Medium"
"Belgium","630","84","2Medium"
"Belize","113","64","2Medium"
"Bhutan","160","62","2Medium"
"Bolivia ","115","68","1High"
"Bosnia and Herzegovina","169","61","2Medium"
"Botswana","102","61","2Medium"
"Brazil","229","79","2Medium"
"Brunei Darussalam","141","81","2Medium"
"Bulgaria","235","66","2Medium"
"Burkina Faso","28","40","2Medium"
"Cambodia","35","60","2Medium"
"Cameroon","72","46","3Low"
"Canada","703","89","2Medium"
"Cape Verde","84","69","3Low"
"Chile","267","70","2Medium"
"Colombia","208","76","1High"
"Congo","37","39","3Low"
"Costa Rica","169","77","1High"
"Croatia","265","71","1High"
"Cuba","508","83","1High"
"Cyprus","242","78","2Medium"
"Czechia","352","76","2Medium"
"Denmark","901","81","1High"
"Dominican Republic","168","74","1High"
"Ecuador","120","77","1High"
"Egypt","81","68","1High"
"El Salvador","105","76","1High"
"Estonia","308","75","1High"
"Eswatini","127","63","2Medium"
"Ethiopia","37","39","1High"
"Fiji","43","64","3Low"
"Finland","769","78","1High"
"France","619","78","1High"
"Gambia","24","44","3Low"
"Georgia","189","66","1High"
"Germany","669","83","1High"
"Ghana","133","47","1High"
"Greece","237","75","3Low"
"Guatemala","72","55","2Medium"
"Guyana","97","72","2Medium"
"Haiti","52","49","2Medium"
"Honduras","83","65","1High"
"Hungary","322","74","1High"
"Iceland","677","84","1High"
"India","43","55","2Medium"
"Indonesia","67","57","1High"
"Iraq","99","61","2Medium"
"Ireland","590","76","2Medium"
"Israel","558","82","2Medium"
"Italy","319","82","1High"
"Ivory Coast","43","47","2Medium"
"Jamaica","130","65","2Medium"
"Japan","860","83","1High"
"Jordan","98","76","2Medium"
"Kazakhstan","260","76","2Medium"
"Korea","406","71","3Low"
"Kuwait","170","76","1High"
"Kyrgyzstan","148","70","2Medium"
"Lao People's Democratic Republic","24","51","2Medium"
"Latvia","297","71","1High"
"Lesotho","76","48","3Low"
"Liberia","73","39","2Medium"
"Lithuania","336","73","2Medium"
"Luxembourg","519","83","1High"
"Madagascar","30","28","3Low"
"Malawi","16","46","2Medium"
"Malaysia","200","73","2Medium"
"Maldives","321","62","3Low"
"Mali","12","38","2Medium"
"Malta","455","82","3Low"
"Mauritius","172","63","2Medium"
"Mexico","125","76","1High"
"Mongolia","124","62","1High"
"Montenegro","205","68","2Medium"
"Morocco","32","70","2Medium"
"Mozambique","37","46","3Low"
"Myanmar","30","61","1High"
"Namibia","77","62","2Medium"
"Netherlands","858","86","1High"
"New Zealand","663","87","1High"
"Nicaragua","92","73","2Medium"
"Niger","19","37","2Medium"
"Norway","1049","87","1High"
"Oman","201","69","1High"
"Pakistan","53","45","1High"
"Panama","241","79","2Medium"
"Papua New Guinea","16","40","3Low"
"Peru","120","77","1High"
"Philippines","51","61","1High"
"Poland","281","75","2Medium"
"Portugal","452","82","1High"
"Qatar","121","68","3Low"
"Romania","213","74","1High"
"Russian Federation","388","75","2Medium"
"Rwanda","37","57","1High"
"Saint Lucia","40","68","3Low"
"Saint Vincent and the Grenadines","92","71","3Low"
"Samoa","45","58","3Low"
"Sao Tome and Principe","102","55","3Low"
"Saudi Arabia","217","74","2Medium"
"Senegal","40","45","1High"
"Serbia","224","65","1High"
"Sierra Leone","29","39","2Medium"
"Singapore","252","86","2Medium"
"Slovakia","376","77","1High"
"Slovenia","341","79","2Medium"
"Solomon Islands","90","47","3Low"
"South Africa","184","69","1High"
"Spain","356","83","1High"
"Sri Lanka","71","66","2Medium"
"Sudan","47","44","2Medium"
"Suriname","139","71","3Low"
"Sweden","745","86","1High"
"Switzerland","801","83","2Medium"
"Tajikistan","98","68","3Low"
"Tanzania","37","43","2Medium"
"Thailand","98","80","2Medium"
"Timor-Leste","44","52","2Medium"
"Togo","55","43","2Medium"
"Tonga","98","58","3Low"
"Turkey","173","74","2Medium"
"Uganda","31","45","1High"
"Ukraine","282","68","2Medium"
"United Arab Emirates","156","76","1High"
"United Kingdom","664","87","1High"
"United States","682","84","1High"
"Uruguay","400","80","1High"
"Vanuatu","9","48","3Low"
"Vietnam","188","75","2Medium"
"Yemen","29","42","2Medium"
"Zambia","53","53","2Medium"
"Zimbabwe","35","54","2Medium"
