"Country","CHE_GDP","desempleo"
"Afghanistan",11.8,"11.1"
"Algeria",6.4,"11.7"
"Angola",2.8,"32"
"Argentina",9.1,"10.4"
"Armenia",10.4,"19.8"
"Australia",9.2,"7.5"
"Austria",10.4,"9"
"Azerbaijan",6.7,"5.2"
"Bahamas",5.8,"10.7"
"Bahrain",4.7,"3.7"
"Bangladesh",2.3,"4.3"
"Barbados",6.8,"9.5"
"Belarus",5.9,"0.2"
"Belgium",10.3,"5.5"
"Belize",5.6,"9.4"
"Benin",3.7,"2.1"
"Bhutan",3.2,"2.4"
"Bolivia",6.4,"3"
"Bosnia and Herzegovina",8.9,"34.38"
"Botswana",6.1,"17.9"
"Brazil",9.5,"13.3"
"Brunei",2.4,"8.9"
"Bulgaria",8.1,"7.9"
"Burkina Faso",6.9,"6.1"
"Burundi",7.5,"1.4"
"Cambodia",5.9,"0.7"
"Cameroon",4.7,"3.4"
"Canada",10.6,"10.9"
"Cape Verde",5.2,"12.2"
"Central African Republic",5.8,"6.5"
"Chad",4.5,"2.2"
"Chile",9,"13.1"
"China",5.2,"5.7"
"Colombia",7.2,"20.2"
"Comoros",7.4,"3.7"
"Costa Rica",7.3,"12.5"
"Croatia",6.8,"9"
"Cuba",11.7,"1.7"
"Cyprus",6.7,"6.9"
"Czech Republic",7.2,"3.8"
"Denmark",10.1,"5.2"
"Dominican Republic",6.1,"5.9"
"East Timor",3.9,"3"
"Ecuador",8.3,"5.9"
"Egypt",5.3,"7.7"
"El Salvador",7.2,"6.4"
"Equatorial Guinea",3.1,"9.2"
"Eritrea",2.9,"6.5"
"Estonia",6.4,"5"
"Ethiopia",3.5,"16.9"
"Fiji",3.5,"4.2"
"Finland",9.2,"7.7"
"France",11.3,"7.8"
"Gabon",2.8,"19.5"
"Gambia",3.3,"8.9"
"Georgia",7.6,"13.9"
"Germany",11.2,"4.4"
"Ghana",3.3,"6.7"
"Greece",8,"17.3"
"Guatemala",5.8,"2.5"
"Guinea",4.1,"4.2"
"Guinea-Bissau",7.2,"4.1"
"Guyana",4.9,"11.9"
"Haiti",8,"13.5"
"Honduras",7.9,"5.7"
"Hungary",6.9,"4.8"
"Iceland",8.3,"6.4"
"India",3.5,"8.4"
"Indonesia",3,"5.28"
"Iran",8.7,"10.9"
"Iraq",4.2,"7.9"
"Ireland",7.2,"5.2"
"Israel",7.4,"4.7"
"Italy",8.8,"9.8"
"Jamaica",6,"7.2"
"Japan",10.9,"2.9"
"Jordan",8.1,"19.3"
"Kazakhstan",3.1,"5"
"Kenya",4.8,"5.2"
"Kuwait",5.3,"2.06"
"Kyrgyzstan",6.2,"3.1"
"Laos",2.5,"0.6"
"Latvia",6,"7.4"
"Lebanon",8.2,"6.2"
"Lesotho",8.8,"23.6"
"Liberia",8.2,"2"
"Libya",NA,"17.3"
"Lithuania",6.5,"12.8"
"Luxembourg",5.5,"6.6"
"Macedonia",6.1,"16.2"
"Madagascar",5.5,"1.7"
"Malawi",9.6,"5.4"
"Malaysia",3.9,"4.9"
"Maldives",9,"6.1"
"Mali",3.8,"9.6"
"Malta",9.3,"3.3"
"Mauritania",4.4,"10.31"
"Mauritius",5.7,"6.4"
"Mexico",5.5,"5.4"
"Moldova",7,"4.1"
"Mongolia",4,"9.9"
"Morocco",5.2,"10.5"
"Mozambique",4.9,"24.37"
"Myanmar",4.7,"1"
"Namibia",8.6,"34"
"Nepal",5.6,"3.4"
"Netherlands",10.1,"4.5"
"New Zealand",9.2,"4.2"
"Nicaragua",8.6,"4.9"
"Niger",7.7,"0.3"
"Nigeria",3.8,"23.1"
"Norway",10.4,"5.2"
"Oman",3.8,"3.1"
"Pakistan",2.9,"5.5"
"Panama",7.3,"6"
"Papua New Guinea",2.5,"2.4"
"Paraguay",6.7,"6.2"
"Peru",5,"16.4"
"Philippines",4.4,"17.7"
"Poland",6.5,"6.1"
"Portugal",9,"6.7"
"Qatar",2.6,"0.1"
"Romania",5.2,"5.4"
"Russia",5.3,"6.3"
"Rwanda",6.6,"16"
"Sao Tome and Principe",6.2,"13.3"
"Saudi Arabia",5.2,"5.7"
"Senegal",4.1,"15.1"
"Serbia",8.4,"9.7"
"Seychelles",5,"4.1"
"Sierra Leone",13.4,"4.3"
"Singapore",4.4,"2.4"
"Slovakia",6.7,"7.7"
"Slovenia",8.2,"9.2"
"South Africa",8.1,"30.1"
"South Korea",7.6,"4.2"
"Spain",8.9,"14.41"
"Sri Lanka",3.8,"4.5"
"Sudan",6.3,"12.9"
"Suriname",6.2,"7.6"
"Sweden",11,"8.9"
"Switzerland",12.3,"3.2"
"Syria",NA,"8.3"
"Tajikistan",7.2,"2.1"
"Tanzania",3.6,"9.9"
"Thailand",3.7,"2.1"
"Togo",6.2,"1.7"
"Trinidad and Tobago",7,"3.8"
"Tunisia",7.2,"15.1"
"Turkey",4.2,"12.9"
"Turkmenistan",6.9,"3.8"
"Uganda",6.3,"1.7"
"Ukraine",7,"8.6"
"United Arab Emirates",3.3,"2.57"
"United Kingdom",9.6,"3.9"
"Uruguay",9.3,"10.7"
"Uzbekistan",6.4,"5.2"
"Vietnam",5.5,"2.22"
"Yemen",NA,"12.9"
"Zambia",4.5,"11.4"
"Zimbabwe",6.6,"4.9"
