"Country","ICU Beds per 100 000 Population","GDP per capita (2019)"
"Afghanistan",0.2,502.115
"Albania",6.9,5352.857
"Algeria",1,3948.343
"Andorra",7.1,40886.391
"Antigua and Barbuda",0,17790.309
"Argentina",18.9,10006.149
"Australia",9.1,54907.102
"Austria",21.8,50277.275
"Bahrain",2.5,23503.977
"Bangladesh",0.7,1855.74
"Barbados",2.8,18148.245
"Belgium",15.9,46116.699
"Belize",10.7,4815.164
"Benin",1,1219.433
"Bolivia",1.3,3552.069
"Bosnia and Herzegovina",3,6073.265
"Botswana",1.6,7961.338
"Brazil",12.9,8717.186
"Brunei",13.1,31086.751
"Bulgaria",12.2,9737.601
"Burkina Faso",1,774.84
"Cambodia",1,1643.121
"Cameroon",1,1497.909
"Canada",13.5,46194.725
"Central African Republic",1,467.907
"Chile",7,14896.454
"China",3.6,10261.679
"Colombia",5.3,6432.388
"Comoros",1.2,1393.522
"Congo Democratic Republic",1,545.216
"Costa Rica",4.6,12238.375
"Croatia",14.7,14853.24
"Cyprus",11.4,27858.371
"Czech Republic",11.6,23101.778
"Denmark",6.7,59822.093
"Dominica",5.4,8300.375
"Dominican Republic",4.1,8282.116
"Ecuador",7.1,6183.824
"Egypt",10.6,3020.031
"El Salvador",0.7,4187.25
"Estonia",14.6,23659.872
"Ethiopia",1,857.501
"Fiji",5,6220.046
"Finland",6.1,48685.854
"France",11.6,40493.929
"Gambia",0.4,751.295
"Georgia",13,4769.187
"Germany",29.2,46258.878
"Ghana",0.4,2202.116
"Greece",6,19582.536
"Grenada",1.9,10965.513
"Guatemala",0.7,4619.987
"Guinea",1,1064.131
"Guyana",1.5,5468.357
"Haiti",1.1,754.588
"Honduras",1.5,2574.912
"Hungary",13.8,16475.742
"Iceland",9.1,66944.826
"India",2.3,2104.146
"Indonesia",2.7,4135.569
"Iraq",1,5955.109
"Ireland",6.5,78660.956
"Israel",8.7,43641.398
"Italy",12.5,33189.566
"Jamaica",1.1,5582.264
"Japan",7.3,40246.88
"Jordan",2.2,4330.329
"Kazakhstan",21.3,9731.145
"Kenya",1,1816.547
"Kiribati",0,1655.079
"Kosovo",5.6,4417.51
"Kuwait",2.2,32031.98
"Latvia",9.7,17836.365
"Lebanon",33.3,7784.317
"Lesotho",0.5,1157.535
"Liberia",0.7,621.893
"Libya",0.8,7683.751
"Lithuania",15.5,19455.454
"Luxembourg",24.8,114704.594
"Madagascar",1,522.22
"Malawi",0.1,411.552
"Malaysia",3.4,11414.838
"Maldives",3.2,10790.5
"Mali",0.3,890.737
"Malta",9.9,29416.231
"Mauritania",1,1677.919
"Mauritius",1.9,11203.541
"Mexico",1.2,9863.073
"Moldova",14.1,4498.521
"Mongolia",8.8,4295.235
"Morocco",4.6,3204.095
"Mozambique",1,491.805
"Myanmar",1.1,1407.813
"Namibia",3.4,4957.458
"Nauru",0,9396.982
"Nepal",2.8,1071.051
"New Zealand",3.7,42084.353
"Niger",1,554.601
"Nigeria",0.2,2229.859
"North Macedonia",34.4,6093.148
"Norway",8,75419.635
"Oman",14.6,15474.032
"Pakistan",1.5,1284.702
"Panama",1.5,15731.016
"Papua New Guinea",1,2845.18
"Paraguay",10.8,5414.799
"Peru",1.1,6977.696
"Philippines",2.2,3485.084
"Poland",6.9,15595.227
"Portugal",4.2,23145.041
"Qatar",11.8,64781.733
"Romania",21.4,12919.53
"Russian Federation",8.3,11584.995
"Rwanda",0.3,801.656
"Samoa",2,4315.921
"Saudi Arabia",22.8,23139.799
"Senegal",0.2,1446.831
"Serbia",3.9,7402.355
"Seychelles",6.3,17401.722
"Sierra Leone",1,504.463
"Singapore",11.4,65233.282
"Slovak Republic",9.2,19329.097
"Slovenia",6.4,25739.248
"Solomon Islands",0,2127.539
"South Africa",8.9,6001.401
"Spain",9.7,29613.671
"Sri Lanka",2.3,3853.084
"St. Lucia",5.6,11611.415
"Sudan",0.5,441.506
"Suriname",4.8,6854.907
"Sweden",5.8,51610.066
"Switzerland",11,81993.727
"Tajikistan",6.7,870.788
"Tanzania",1,1122.122
"Thailand",10.4,7808.193
"Togo",1,675.542
"Tunisia",4.3,3317.541
"Turkey",30.9,9042.493
"Tuvalu",8.9,4059.03
"Uganda",1,776.769
"Ukraine",12,3659.031
"United Arab Emirates",12.7,43103.323
"United Kingdom",6.6,42300.267
"United States",34.7,65118.358
"Uruguay",20.9,16190.127
"Vanuatu",0,3058.066
"Vietnam",0.4,2715.276
"Zambia",0.6,1291.343
"Zimbabwe",0.2,1463.986
